m,n,q,M0,M1
45,64,2,5053,4941
45,64,3,3327,6710
45,64,5,5947,4035
45,64,7,4349,5665
45,64,11,4882,5789
45,64,13,6240,5472
45,64,17,7225,6706
45,64,19,7228,7657
45,64,23,8115,8488
45,64,29,9289,9112
45,64,31,9322,9448
45,64,37,9762,9686
45,64,41,9878,9825
45,64,43,9887,9918
45,64,47,9946,9959
45,64,53,9989,9986
45,64,59,9996,9997
45,64,61,9998,9999
45,64,67,10000,10000
45,64,71,10000,10000
45,64,73,10000,10000
45,64,79,10000,10000
45,64,83,10000,10000
45,64,89,10000,10000
45,64,97,10000,10000
45,64,101,10000,10000
45,64,103,10000,10000
45,64,107,10000,10000
45,64,109,10000,10000
45,64,113,10000,10000
45,64,127,10000,10000
45,64,131,10000,10000
45,64,137,10000,10000
45,64,139,10000,10000
45,64,149,10000,10000
45,64,151,10000,10000
45,64,157,10000,10000
45,64,163,10000,10000
45,64,167,10000,10000
