m=4, n=256, q=47, M0=8321, M1=8500 
m=4, n=256, q=53, M0=8945, M1=8831 
m=4, n=256, q=59, M0=9209, M1=9328 
m=4, n=256, q=61, M0=9366, M1=9297 
m=4, n=256, q=67, M0=9534, M1=9574 
m=4, n=256, q=71, M0=9637, M1=9720 
m=4, n=256, q=73, M0=9756, M1=9707 
m=4, n=256, q=79, M0=9807, M1=9853 
m=4, n=256, q=83, M0=9873, M1=9883 
m=4, n=256, q=89, M0=9940, M1=9915 
m=4, n=256, q=97, M0=9968, M1=9960 
m=4, n=256, q=101, M0=9977, M1=9975 
m=4, n=256, q=103, M0=9981, M1=9984 
m=4, n=256, q=107, M0=9989, M1=9988 
m=4, n=256, q=109, M0=9991, M1=9975 
m=4, n=256, q=113, M0=9995, M1=9994 
m=4, n=256, q=127, M0=9999, M1=9998 
m=4, n=256, q=131, M0=10000, M1=9999 
m=4, n=256, q=137, M0=10000, M1=10000 
m=4, n=256, q=139, M0=9999, M1=9999 
m=4, n=256, q=149, M0=10000, M1=10000 
m=4, n=256, q=151, M0=10000, M1=10000 
m=4, n=256, q=157, M0=10000, M1=10000 
m=8, n=8192, q=2053, M0=10000, M1=10000 
m=8, n=8192, q=2053, M0=1000, M1=1000 
m=8, n=8192, q=2063, M0=1000, M1=1000 
m=8, n=8192, q=2069, M0=1000, M1=1000 
m=8, n=8192, q=2081, M0=1000, M1=1000 
m=8, n=8192, q=2083, M0=1000, M1=1000 
m=8, n=8192, q=2087, M0=1000, M1=1000 
m=8, n=8192, q=2089, M0=1000, M1=1000 
m=8, n=8192, q=2099, M0=1000, M1=1000 
m=8, n=8192, q=2111, M0=1000, M1=1000 
m=8, n=8192, q=2113, M0=1000, M1=1000 
m=8, n=8192, q=2129, M0=1000, M1=1000 
m=8, n=8192, q=2131, M0=1000, M1=1000 
m=8, n=8192, q=2137, M0=1000, M1=1000 
m=8, n=8192, q=2141, M0=1000, M1=1000 
m=8, n=8192, q=2143, M0=1000, M1=1000 
m=8, n=8192, q=2153, M0=1000, M1=1000 
m=8, n=8192, q=2161, M0=1000, M1=1000 
m=8, n=8192, q=2179, M0=1000, M1=1000 
m=8, n=8192, q=2203, M0=1000, M1=1000 
m=8, n=8192, q=2207, M0=1000, M1=1000 
m=8, n=8192, q=2213, M0=1000, M1=1000 
m=8, n=8192, q=2221, M0=1000, M1=1000 
m=8, n=8192, q=2237, M0=1000, M1=1000 
m=8, n=8192, q=2239, M0=1000, M1=1000 
m=8, n=8192, q=2243, M0=1000, M1=1000 
m=8, n=8192, q=2251, M0=1000, M1=1000 
m=8, n=8192, q=2267, M0=1000, M1=1000 
m=8, n=8192, q=2269, M0=1000, M1=1000 
m=8, n=8192, q=2273, M0=1000, M1=1000 
m=8, n=8192, q=2281, M0=1000, M1=1000 
m=8192, n=8, q=2053, M0=1000, M1=1000 
m=8192, n=8, q=2063, M0=1000, M1=1000 
m=8192, n=8, q=2069, M0=1000, M1=1000 
m=8192, n=8, q=2081, M0=1000, M1=1000 
m=8192, n=8, q=2083, M0=1000, M1=1000 
m=8192, n=8, q=2087, M0=1000, M1=1000 
m=8192, n=8, q=2089, M0=1000, M1=1000 
m=8192, n=8, q=2099, M0=1000, M1=1000 
m=8192, n=8, q=2111, M0=1000, M1=1000 
m=8192, n=8, q=2113, M0=1000, M1=1000 
m=8192, n=8, q=2129, M0=1000, M1=1000 
m=8192, n=8, q=2131, M0=1000, M1=1000 
m=8192, n=8, q=2137, M0=1000, M1=1000 
m=8192, n=8, q=2141, M0=1000, M1=1000 
