m,n,q,M0,M1
229,12,23,9983,9990
229,12,23,9976,9985
230,12,23,9983,9991
230,12,23,9976,9993
231,12,23,9974,9989
231,12,23,9981,9985
232,12,23,9984,9989
232,12,23,9976,9983
233,12,23,9984,9990
233,12,23,9986,9989
234,12,23,9977,9987
234,12,23,9971,9992
235,12,23,9976,9989
235,12,23,9985,9989
236,12,23,9980,9990
236,12,23,9982,9992
237,12,23,9984,9989
237,12,23,9977,9988
238,12,23,9979,9984
238,12,23,9969,9978
239,12,23,9986,9980
239,12,23,9978,9980
240,12,23,9982,9992
240,12,23,9977,9985
241,12,23,9983,9987
241,12,23,9977,9985
242,12,23,9971,9988
242,12,23,9982,9983
243,12,23,9986,9992
243,12,23,9975,9986
244,12,23,9980,9991
244,12,23,9981,9993
245,12,23,9984,9993
245,12,23,9979,9992
246,12,23,9982,9989
246,12,23,9977,9985
247,12,23,9980,9990
247,12,23,9980,9984
248,12,23,9989,9986
248,12,23,9983,9993
249,12,23,9985,9992
249,12,23,9978,9990
250,12,23,9987,9989
250,12,23,9986,9988
251,12,23,9980,9986
252,12,23,9979,9986
253,12,23,9977,9997
254,12,23,9983,9989
255,12,23,9978,9986
256,12,23,9981,9989
257,12,23,9980,9988
258,12,23,9979,9990
259,12,23,9978,9992
260,12,23,9975,9988
261,12,23,9977,9984
262,12,23,9984,9990
263,12,23,9985,9988
264,12,23,9982,9986
265,12,23,9981,9989
266,12,23,9985,9990
267,12,23,9983,9986
268,12,23,9984,9988
269,12,23,9982,9989
270,12,23,9975,9987
271,12,23,9982,9984
272,12,23,9986,9992
273,12,23,9976,9989
274,12,23,9976,9985
275,12,23,9975,9992
276,12,23,9980,9985
277,12,23,9985,9993
278,12,23,9978,9989
279,12,23,9975,9991
280,12,23,9984,9995
281,12,23,9990,9986
282,12,23,9986,9991
283,12,23,9979,9988
284,12,23,9979,9992
285,12,23,9976,9992
286,12,23,9981,9992
287,12,23,9983,9984
288,12,23,9974,9985
289,12,23,9985,9987
290,12,23,9981,9989
291,12,23,9982,9994
292,12,23,9982,9990
293,12,23,9977,9989
294,12,23,9985,9993
295,12,23,9980,9992
296,12,23,9977,9994
297,12,23,9977,9991
298,12,23,9980,9986
299,12,23,9983,9989
300,12,23,9978,9985
301,12,23,9984,9993
302,12,23,9983,9983
303,12,23,9986,9990
304,12,23,9983,9983
305,12,23,9983,9988
306,12,23,9983,9991
307,12,23,9980,9989
308,12,23,9980,9984
309,12,23,9977,9989
310,12,23,9979,9989
311,12,23,9977,9990
312,12,23,9973,9990
313,12,23,9981,9987
314,12,23,9977,9989
315,12,23,9981,9987
316,12,23,9987,9983
317,12,23,9977,9994
318,12,23,9984,9992
319,12,23,9981,9989
320,12,23,9982,9986
321,12,23,9972,9991
322,12,23,9989,9986
323,12,23,9985,9988
324,12,23,9976,9993
325,12,23,9980,9993
326,12,23,9988,9985
327,12,23,9980,9986
328,12,23,9980,9993
329,12,23,9983,9988
330,12,23,9980,9985
331,12,23,9981,9988
332,12,23,9979,9990
333,12,23,9979,9981
334,12,23,9982,9987
335,12,23,9979,9988
336,12,23,9985,9988
337,12,23,9985,9989
338,12,23,9979,9990
339,12,23,9984,9988
340,12,23,9977,9988
341,12,23,9990,9998
342,12,23,9978,9989
343,12,23,9982,9989
344,12,23,9983,9991
345,12,23,9983,9987
346,12,23,9975,9986
347,12,23,9978,9986
348,12,23,9984,9987
349,12,23,9983,9984
350,12,23,9987,9994
351,12,23,9982,9986
352,12,23,9985,9991
353,12,23,9985,9987
354,12,23,9980,9989
355,12,23,9981,9984
356,12,23,9989,9989
357,12,23,9982,9985
358,12,23,9976,9995
358,12,23,9986,9993
359,12,23,9983,9984
359,12,23,9974,9982
360,12,23,9985,9981
360,12,23,9978,9991
361,12,23,9979,9983
361,12,23,9979,9991
362,12,23,9976,9991
362,12,23,9977,9986
363,12,23,9982,9983
363,12,23,9977,9988
364,12,23,9981,9985
364,12,23,9982,9986
365,12,23,9973,9989
365,12,23,9975,9984
366,12,23,9977,9991
366,12,23,9982,9988
367,12,23,9981,9989
367,12,23,9981,9992
368,12,23,9975,9992
368,12,23,9985,9987
