m,n,q,M0,M1
8,8192,2053,10000,10000
8,8192,2053,1000,1000
8,8192,2063,1000,1000
8,8192,2069,1000,1000
8,8192,2081,1000,1000
8,8192,2083,1000,1000
8,8192,2087,1000,1000
8,8192,2089,1000,1000
8,8192,2099,1000,1000
8,8192,2111,1000,1000
8,8192,2113,1000,1000
8,8192,2129,1000,1000
8,8192,2131,1000,1000
8,8192,2137,1000,1000
8,8192,2141,1000,1000
8,8192,2143,1000,1000
8,8192,2153,1000,1000
8,8192,2161,1000,1000
8,8192,2179,1000,1000
8,8192,2203,1000,1000
8,8192,2207,1000,1000
8,8192,2213,1000,1000
8,8192,2221,1000,1000
8,8192,2237,1000,1000
8,8192,2239,1000,1000
8,8192,2243,1000,1000
8,8192,2251,1000,1000
8,8192,2267,1000,1000
8,8192,2269,1000,1000
8,8192,2273,1000,1000
8,8192,2281,1000,1000
