m,n,q,M0,M1
45,256,2,5003,5013 
45,256,3,3385,6643 
45,256,5,5959,4087 
45,256,7,4260,5737 
45,256,11,4536,5432 
45,256,13,5303,4608 
45,256,17,5254,4684 
45,256,19,4891,5325 
45,256,23,5277,5759 
45,256,29,6487,6088 
45,256,31,6337,6726 
45,256,37,7546,7219 
45,256,41,7931,7681 
45,256,43,7957,8045 
45,256,47,8316,8464 
45,256,53,8945,8875 
45,256,59,9217,9276 
45,256,61,9341,9294 
45,256,67,9502,9611 
45,256,71,9643,9701 
45,256,73,9770,9687 
45,256,79,9797,9841 
45,256,83,9843,9873 
45,256,89,9929,9903 
45,256,97,9972,9974 
45,256,101,9976,9979 
45,256,103,9979,9980 
45,256,107,9985,9992 
45,256,109,9990,9992 
45,256,113,9995,9993 
45,256,127,9997,9997 
45,256,131,9998,10000 
45,256,137,10000,9997 
45,256,139,9999,10000 
45,256,149,10000,10000 
45,256,151,10000,10000 
45,256,157,10000,10000 
