m,n,q,M0,M1
125,12,23,9985,9990
250,12,23,9987,9989
375,12,23,9980,9985
124,12,23,9983,9993
500,12,23,9984,9982
249,12,23,9985,9992
123,12,23,9983,9984
374,12,23,9983,9983
122,12,23,9984,9988
248,12,23,9989,9986
499,12,23,9977,9990
121,12,23,9976,9990
373,12,23,9981,9983
247,12,23,9980,9990
120,12,23,9987,9994
498,12,23,9976,9991
119,12,23,9985,9991
246,12,23,9982,9989
372,12,23,9987,9995
118,12,23,9986,9989
245,12,23,9984,9993
497,12,23,9985,9986
117,12,23,9983,9986
371,12,23,9982,9993
244,12,23,9980,9991
116,12,23,9973,9988
370,12,23,9988,9990
496,12,23,9978,9989
115,12,23,9978,9992
243,12,23,9986,9992
114,12,23,9982,9993
242,12,23,9971,9988
369,12,23,9975,9990
113,12,23,9981,9992
495,12,23,9980,9993
112,12,23,9978,9984
241,12,23,9983,9987
368,12,23,9975,9992
111,12,23,9981,9992
494,12,23,9984,9989
240,12,23,9982,9992
110,12,23,9982,9982
367,12,23,9981,9989
239,12,23,9986,9980
109,12,23,9972,9990
493,12,23,9974,9986
108,12,23,9977,9988
238,12,23,9979,9984
366,12,23,9977,9991
107,12,23,9979,9987
237,12,23,9984,9989
492,12,23,9988,9992
106,12,23,9982,9986
365,12,23,9973,9989
105,12,23,9978,9988
236,12,23,9980,9990
104,12,23,9981,9994
364,12,23,9981,9985
491,12,23,9971,9988
235,12,23,9976,9989
103,12,23,9986,9988
102,12,23,9984,9991
363,12,23,9982,9983
234,12,23,9977,9987
490,12,23,9981,9998
101,12,23,9973,9992
233,12,23,9984,9990
100,12,23,9979,9992
362,12,23,9976,9991
99,12,23,9981,9991
489,12,23,9981,9990
232,12,23,9984,9989
361,12,23,9979,9983
98,12,23,9982,9986
231,12,23,9974,9989
97,12,23,9983,9987
488,12,23,9987,9989
360,12,23,9985,9981
96,12,23,9982,9985
230,12,23,9983,9991
95,12,23,9979,9985
229,12,23,9983,9990
487,12,23,9980,9986
359,12,23,9983,9984
94,12,23,9973,9989
93,12,23,9985,9993
228,12,23,9980,9985
92,12,23,9985,9990
358,12,23,9976,9995
486,12,23,9978,9990
227,12,23,9986,9988
91,12,23,9980,9990
3333,12,23,99800,99881
1664,12,23,99828,99883
63,12,23,9978,9977
126,12,23,9985,9989
189,12,23,9984,9992
252,12,23,9979,9986
315,12,23,9981,9987
62,12,23,9976,9988
378,12,23,9982,9990
441,12,23,9981,9985
125,12,23,9979,9988
504,12,23,9986,9987
188,12,23,9975,9992
61,12,23,9977,9987
251,12,23,9980,9986
124,12,23,9979,9995
314,12,23,9977,9989
60,12,23,9979,9991
377,12,23,9984,9989
187,12,23,9980,9994
123,12,23,9979,9990
440,12,23,9983,9993
59,12,23,9983,9990
250,12,23,9986,9988
503,12,23,9981,9993
122,12,23,9981,9988
313,12,23,9981,9987
58,12,23,9980,9984
186,12,23,9981,9994
376,12,23,9986,9994
57,12,23,9978,9992
249,12,23,9978,9990
121,12,23,9978,9989
439,12,23,9976,9980
185,12,23,9984,9987
56,12,23,9985,9988
312,12,23,9973,9990
502,12,23,9985,9993
120,12,23,9985,9996
248,12,23,9983,9993
55,12,23,9981,9990
375,12,23,9974,9986
184,12,23,9981,9991
119,12,23,9973,9993
438,12,23,9980,9990
54,12,23,9976,9988
311,12,23,9977,9990
247,12,23,9980,9984
183,12,23,9976,9992
501,12,23,9976,9984
53,12,23,9988,9989
118,12,23,9985,9990
374,12,23,9969,9986
52,12,23,9975,9987
310,12,23,9979,9989
117,12,23,9980,9988
246,12,23,9977,9985
437,12,23,9982,9987
182,12,23,9979,9988
51,12,23,9980,9990
500,12,23,9970,9984
373,12,23,9977,9987
116,12,23,9982,9984
50,12,23,9973,9989
181,12,23,9975,9982
245,12,23,9979,9992
309,12,23,9977,9989
49,12,23,9968,9991
115,12,23,9984,9983
436,12,23,9977,9991
180,12,23,9978,9986
48,12,23,9981,9984
372,12,23,9976,9992
244,12,23,9981,9993
114,12,23,9986,9994
308,12,23,9980,9984
499,12,23,9984,9992
47,12,23,9984,9989
179,12,23,9984,9987
113,12,23,9981,9986
46,12,23,9977,9990
435,12,23,9982,9991
243,12,23,9975,9986
371,12,23,9980,9988
307,12,23,9980,9989
45,12,23,9976,9985
112,12,23,9983,9993
178,12,23,9984,9992
498,12,23,9972,9987
44,12,23,9979,9989
111,12,23,9979,9991
242,12,23,9982,9983
177,12,23,9970,9993
434,12,23,9981,9992
43,12,23,9982,9987
306,12,23,9983,9991
370,12,23,9980,9991
110,12,23,9983,9993
42,12,23,9975,9989
241,12,23,9977,9985
176,12,23,9982,9986
497,12,23,9979,9992
109,12,23,9978,9989
41,12,23,9982,9992
305,12,23,9983,9988
369,12,23,9983,9994
433,12,23,9984,9983
175,12,23,9979,9994
40,12,23,9981,9986
108,12,23,9988,9991
240,12,23,9977,9985
39,12,23,9980,9991
304,12,23,9983,9983
107,12,23,9980,9996
174,12,23,9984,9990
496,12,23,9986,9993
368,12,23,9985,9987
38,12,23,9982,9987
239,12,23,9978,9980
432,12,23,9981,9992
106,12,23,9986,9988
37,12,23,9976,9990
173,12,23,9979,9985
303,12,23,9986,9990
105,12,23,9981,9983
36,12,23,9988,9982
238,12,23,9969,9978
367,12,23,9981,9992
495,12,23,9980,9993
172,12,23,9979,9986
431,12,23,9976,9989
35,12,23,9974,9989
104,12,23,9978,9984
302,12,23,9983,9983
237,12,23,9977,9988
34,12,23,9983,9986
171,12,23,9980,9987
103,12,23,9978,9991
366,12,23,9982,9988
33,12,23,9976,9986
301,12,23,9984,9993
430,12,23,9978,9989
494,12,23,9983,9988
236,12,23,9982,9992
102,12,23,9982,9997
32,12,23,9978,9989
170,12,23,9983,9991
365,12,23,9975,9984
101,12,23,9978,9986
31,12,23,9980,9991
235,12,23,9985,9989
169,12,23,9978,9991
300,12,23,9978,9985
30,12,23,9983,9993
100,12,23,9982,9992
429,12,23,9976,9985
493,12,23,9981,9984
29,12,23,9981,9988
168,12,23,9975,9995
364,12,23,9982,9986
99,12,23,9984,9994
234,12,23,9971,9992
299,12,23,9983,9989
28,12,23,9982,9984
98,12,23,9979,9984
167,12,23,9975,9987
428,12,23,9986,9988
27,12,23,9978,9984
233,12,23,9986,9989
492,12,23,9978,9989
363,12,23,9977,9988
97,12,23,9988,9987
298,12,23,9980,9986
26,12,23,9980,9990
166,12,23,9985,9992
25,12,23,9975,9992
232,12,23,9976,9983
96,12,23,9979,9983
427,12,23,9987,9991
165,12,23,9984,9991
24,12,23,9984,9980
362,12,23,9977,9986
297,12,23,9977,9991
95,12,23,9987,9989
491,12,23,9975,9991
23,12,23,9983,9988
231,12,23,9981,9985
164,12,23,9984,9991
94,12,23,9979,9989
22,12,23,9979,9992
296,12,23,9977,9994
361,12,23,9979,9991
426,12,23,9988,9990
21,12,23,9974,9986
93,12,23,9986,9987
230,12,23,9976,9993
163,12,23,9983,9987
490,12,23,9975,9990
20,12,23,9983,9990
92,12,23,9980,9983
295,12,23,9980,9992
162,12,23,9973,9993
229,12,23,9976,9985
19,12,23,9989,9982
360,12,23,9978,9991
425,12,23,9978,9994
91,12,23,9980,9994
18,12,23,9980,9985
161,12,23,9981,9989
489,12,23,9981,9988
228,12,23,9979,9995
90,12,23,9980,9990
17,12,23,9977,9991
294,12,23,9985,9993
359,12,23,9974,9982
16,12,23,9978,9993
160,12,23,9973,9989
89,12,23,9981,9989
424,12,23,9979,9992
227,12,23,9979,9989
15,12,23,9991,9989
293,12,23,9977,9989
88,12,23,9978,9989
488,12,23,9985,9990
159,12,23,9974,9992
14,12,23,9977,9991
358,12,23,9986,9993
226,12,23,9973,9992
87,12,23,9971,9984
13,12,23,9984,9989
423,12,23,9985,9988
158,12,23,9985,9990
292,12,23,9982,9990
12,12,23,9980,9992
86,12,23,9980,9996
225,12,23,9980,9990
357,12,23,9982,9985
487,12,23,9986,9986
11,12,23,9977,9989
157,12,23,9976,9993
85,12,23,9974,9990
10,12,23,9976,9990
291,12,23,9982,9994
422,12,23,9977,9987
224,12,23,9980,9985
156,12,23,9984,9989
84,12,23,9976,9993
9,12,23,9981,9983
356,12,23,9989,9989
8,12,23,9981,9997
486,12,23,9978,9988
83,12,23,9985,9991
155,12,23,9972,9990
290,12,23,9981,9989
223,12,23,9979,9986
7,12,23,9977,9987
421,12,23,9981,9987
82,12,23,9986,9987
6,12,23,9976,9990
355,12,23,9981,9984
154,12,23,9980,9987
5,12,23,9980,9986
289,12,23,9985,9987
222,12,23,9975,9988
81,12,23,9987,9992
485,12,23,9984,9991
4,12,23,9980,9984
153,12,23,9985,9990
420,12,23,9979,9994
80,12,23,9978,9985
3,12,23,9977,9990
221,12,23,9981,9994
354,12,23,9980,9989
288,12,23,9974,9985
2,12,23,9972,9991
79,12,23,9983,9991
152,12,23,9986,9989
1,12,23,9980,9986
220,12,23,9980,9990
484,12,23,9986,9986
78,12,23,9981,9988
419,12,23,9990,9993
151,12,23,9980,9989
353,12,23,9985,9987
287,12,23,9983,9984
77,12,23,9973,9983
219,12,23,9983,9985
150,12,23,9977,9987
76,12,23,9972,9986
286,12,23,9981,9992
483,12,23,9974,9990
352,12,23,9985,9991
418,12,23,9987,9984
218,12,23,9984,9984
149,12,23,9982,9986
75,12,23,9980,9987
74,12,23,9971,9990
285,12,23,9976,9992
148,12,23,9982,9987
1098,12,23,9975,9990
351,12,23,9982,9986
217,12,23,9975,9992
417,12,23,9978,9990
482,12,23,9976,9992
73,12,23,9982,9989
147,12,23,9983,9990
284,12,23,9979,9992
72,12,23,9983,9992
216,12,23,9984,9990
350,12,23,9987,9994
146,12,23,9979,9993
71,12,23,9982,9979
416,12,23,9982,9996
481,12,23,9974,9992
215,12,23,9970,9995
283,12,23,9979,9988
70,12,23,9980,9987
145,12,23,9984,9990
