m,n,q,M0,M1
4,12,2,5104,4955
4,12,3,3404,6657
4,12,5,6493,4544
4,12,7,5980,7191
4,12,11,8320,8953
4,12,13,9516,8949
4,12,17,9896,9671
4,12,19,9892,9935
4,12,23,9982,9991
4,12,29,10000,9998
4,12,31,10000,9999
4,12,37,10000,10000
4,12,41,10000,10000
4,12,43,10000,10000
4,12,47,10000,10000
4,12,53,10000,10000
4,12,59,10000,10000
4,12,61,10000,10000
4,12,67,10000,10000
4,12,71,10000,10000
4,12,73,10000,10000
4,12,79,10000,10000
4,12,83,10000,10000
4,12,89,10000,10000
4,12,97,10000,10000
4,12,101,10000,10000
4,12,103,10000,10000
4,12,107,10000,10000
4,12,109,10000,10000
4,12,113,10000,10000
4,12,127,10000,10000
4,12,131,10000,10000
4,12,137,10000,10000
4,12,139,10000,10000
4,12,149,10000,10000
4,12,151,10000,10000
4,12,157,10000,10000
4,12,163,10000,10000
4,12,167,10000,10000
4,12,173,10000,10000
4,12,179,10000,10000
4,12,181,10000,10000
4,12,191,10000,10000
4,12,193,10000,10000
4,12,197,10000,10000
4,12,199,10000,10000
