m,n,q,M0,M1
4,273,23,5213,5647
4,274,23,5119,5620
4,275,23,5144,5554
4,276,23,5210,5575
4,277,23,5139,5668
4,278,23,5207,5490
4,279,23,5207,5663
4,280,23,5228,5589
4,281,23,5128,5691
4,282,23,5142,5574
4,283,23,5166,5529
4,284,23,5162,5627
4,285,23,5155,5610
4,286,23,5199,5610
4,287,23,5183,5643
4,288,23,5110,5546
4,289,23,5135,5597
4,290,23,5134,5573
4,291,23,5107,5623
4,292,23,5144,5465
4,293,23,5013,5521
4,294,23,5138,5652
4,295,23,5151,5594
4,296,23,5155,5457
4,297,23,5136,5514
4,298,23,5178,5542
4,299,23,5108,5436
4,300,23,5038,5461
4,301,23,5054,5435
4,302,23,5078,5579
4,303,23,5101,5522
4,304,23,5140,5533
4,305,23,5116,5521
4,306,23,5077,5526
4,307,23,5102,5442
4,308,23,5083,5474
4,309,23,4958,5455
4,310,23,5060,5506
4,311,23,5065,5437
4,312,23,5138,5486
4,313,23,5048,5495
4,314,23,5068,5489
4,315,23,4989,5511
4,316,23,5012,5388
4,317,23,4994,5381
4,318,23,4996,5445
4,319,23,5009,5429
4,320,23,5084,5418
4,321,23,4993,5476
4,322,23,5109,5508
4,323,23,5032,5485
4,324,23,5044,5505
4,325,23,5000,5490
4,326,23,4972,5478
4,327,23,4960,5448
4,328,23,5043,5445
4,329,23,5043,5501
4,330,23,5069,5415
4,331,23,5071,5353
4,332,23,5022,5459
4,333,23,4941,5434
4,334,23,4974,5511
4,335,23,5068,5517
4,336,23,5019,5446
4,337,23,4939,5454
4,338,23,4883,5449
4,339,23,4992,5438
4,340,23,4953,5456
4,341,23,5060,5373
4,342,23,4954,5280
4,343,23,5079,5385
4,344,23,4995,5448
4,345,23,5131,5399
4,346,23,4985,5382
4,347,23,5005,5407
4,348,23,4988,5318
4,349,23,4941,5484
4,350,23,4938,5361
4,351,23,4955,5436
4,352,23,4990,5399
4,353,23,4919,5454
4,354,23,4964,5396
4,355,23,4965,5437
4,356,23,4976,5526
4,357,23,4965,5444
4,358,23,4951,5381
4,359,23,4900,5303
4,360,23,4985,5405
4,361,23,4921,5331
4,362,23,4963,5368
4,363,23,4994,5353
4,364,23,4868,5375
4,365,23,4999,5429
4,366,23,4879,5359
4,367,23,4937,5481
4,368,23,4922,5360
4,369,23,4954,5355
4,370,23,4875,5358
4,371,23,4918,5425
4,372,23,4830,5400
4,373,23,4921,5344
4,374,23,4908,5334
4,375,23,4977,5345
4,376,23,4920,5370
4,377,23,4967,5380
4,378,23,5026,5470
4,379,23,4841,5329
4,380,23,4979,5382
4,381,23,4971,5315
4,382,23,5003,5364
4,383,23,4918,5413
4,384,23,4976,5286
4,385,23,5001,5376
4,386,23,4882,5298
4,387,23,4915,5414
4,388,23,4909,5324
4,389,23,4868,5289
4,390,23,4881,5344
4,391,23,4944,5338
4,392,23,4880,5309
4,393,23,4869,5381
4,394,23,4878,5357
4,395,23,4900,5317
4,396,23,4971,5364
4,397,23,4924,5311
4,398,23,4847,5408
4,399,23,4814,5289
4,400,23,4908,5346
4,401,23,4887,5309
4,402,23,4861,5337
4,403,23,4891,5305
4,404,23,4877,5325
4,405,23,4846,5282
4,406,23,4924,5398
4,407,23,4963,5310
4,408,23,4920,5330
4,409,23,4881,5276
4,410,23,4973,5301
4,411,23,5003,5379
4,412,23,4855,5315
4,413,23,4898,5287
4,414,23,4922,5243
4,415,23,4949,5289
4,416,23,4820,5285
4,417,23,4986,5302
4,418,23,4822,5318
4,419,23,4892,5417
4,420,23,4863,5250
4,421,23,4888,5383
4,422,23,4902,5274
4,423,23,4840,5317
4,424,23,4906,5320
4,425,23,4918,5260
4,426,23,4800,5350
4,427,23,4824,5297
4,428,23,4885,5249
4,429,23,4873,5296
4,430,23,4935,5252
4,431,23,4900,5236
4,432,23,4822,5208
4,433,23,4834,5307
4,434,23,4876,5203
4,435,23,4967,5265
4,436,23,4864,5382
4,437,23,4877,5197
4,438,23,4951,5312
4,439,23,4851,5271
4,440,23,4881,5270
4,441,23,4897,5338
4,442,23,4757,5225
4,443,23,4881,5300
4,444,23,4852,5260
4,445,23,4844,5351
4,446,23,4864,5294
4,447,23,4854,5331
4,448,23,4863,5299
4,449,23,4800,5262
4,450,23,4915,5237
4,451,23,4965,5419
4,452,23,4830,5202
4,453,23,4818,5358
4,454,23,4883,5259
4,455,23,4901,5354
4,456,23,4791,5245
4,457,23,4872,5212
4,458,23,4795,5313
4,459,23,4854,5249
4,460,23,4825,5324
4,461,23,4881,5224
4,462,23,4907,5308
4,463,23,4807,5289
4,464,23,4843,5266
4,465,23,4911,5378
4,466,23,4783,5228
4,467,23,4798,5356
4,468,23,4857,5305
4,469,23,4772,5240
4,470,23,4826,5231
4,471,23,4826,5274
4,472,23,4767,5207
4,473,23,4847,5290
4,474,23,4827,5237
4,475,23,4827,5267
4,476,23,4895,5294
4,477,23,4821,5239
4,478,23,4761,5237
4,479,23,4796,5286
4,480,23,4760,5189
4,481,23,4795,5314
4,482,23,4815,5243
4,483,23,4827,5235
4,484,23,4874,5210
4,485,23,4828,5233
4,486,23,4731,5326
4,487,23,4862,5186
4,488,23,4781,5242
4,489,23,4733,5213
4,490,23,4816,5353
4,491,23,4861,5393
4,492,23,4846,5243
4,493,23,4803,5101
4,494,23,4822,5305
4,495,23,4829,5265
4,496,23,4863,5266
4,497,23,4810,5261
4,498,23,4803,5310
4,499,23,4799,5240
4,500,23,4859,5230
4,501,23,4727,5283
4,502,23,4838,5311
4,503,23,4840,5320
4,504,23,4882,5342
4,505,23,4876,5266
4,506,23,4801,5300
4,507,23,4909,5275
4,508,23,4898,5216
4,509,23,4818,5275
4,510,23,4852,5248
4,511,23,4943,5122
4,512,23,4800,5266
4,513,23,4835,5189
4,514,23,4804,5233
4,515,23,4816,5192
4,516,23,4833,5276
4,517,23,4706,5264
4,518,23,4886,5278
4,519,23,4822,5207
4,520,23,4877,5199
4,521,23,4813,5374
4,522,23,4832,5278
4,523,23,4816,5238
4,524,23,4788,5241
4,525,23,4774,5316
4,526,23,4895,5209
4,527,23,4769,5176
4,528,23,4771,5294
4,529,23,4854,5264
4,530,23,4824,5226
4,531,23,4898,5242
4,532,23,4845,5217
4,533,23,4805,5177
4,534,23,4727,5256
4,535,23,4854,5287
4,536,23,4784,5309
4,537,23,4814,5243
4,538,23,4836,5249
4,539,23,4842,5210
4,540,23,4900,5155
4,541,23,4788,5266
4,542,23,4871,5253
4,543,23,4809,5243
4,544,23,4726,5276
4,545,23,4736,5307
4,546,23,4805,5290
4,547,23,4772,5253
4,548,23,4865,5200
4,549,23,4720,5273
4,550,23,4816,5195
4,551,23,4803,5239
4,552,23,4837,5278
4,553,23,4738,5163
4,554,23,4795,5166
4,555,23,4811,5187
4,556,23,4819,5195
4,557,23,4812,5192
4,558,23,4743,5238
4,559,23,4776,5270
4,560,23,4897,5246
4,561,23,4800,5209
4,562,23,4851,5227
4,563,23,4805,5234
4,564,23,4839,5231
4,565,23,4807,5327
4,566,23,4732,5278
4,567,23,4821,5154
4,568,23,4736,5226
4,569,23,4894,5233
4,570,23,4836,5144
4,571,23,4830,5250
4,572,23,4758,5256
4,573,23,4765,5196
4,574,23,4865,5236
4,575,23,4772,5122
4,576,23,4801,5187
4,577,23,4809,5254
4,578,23,4847,5287
4,579,23,4856,5273
4,580,23,4889,5150
4,581,23,4749,5276
4,582,23,4788,5194
4,583,23,4783,5228
4,584,23,4803,5230
4,585,23,4809,5238
4,586,23,4793,5358
4,587,23,4805,5187
4,588,23,4733,5197
4,589,23,4828,5263
4,590,23,4877,5219
4,591,23,4842,5200
4,592,23,4847,5218
4,593,23,4872,5184
4,594,23,4896,5138
4,595,23,4775,5283
4,596,23,4839,5212
4,597,23,4729,5215
4,598,23,4858,5234
4,599,23,4683,5270
4,600,23,4919,5205
4,601,23,4750,5247
4,602,23,4778,5235
4,603,23,4806,5271
